row_label,2.5,5.7,17.9
AminoAcid_Creatine_OneCarbon | Aldh1l1,68.03953892900894,77.09605749623297,73.57007656632774
AminoAcid_Creatine_OneCarbon | Aspg,9.534350664787821,10.590480584755294,28.87494422058759
AminoAcid_Creatine_OneCarbon | Nme8,0.5675539070995982,0.47942809912012313,0.7961720324608937
Astrocyte_Metabolic_Support | Aldh1l1,68.03953892900894,77.09605749623297,73.57007656632774
Astrocyte_Metabolic_Support | Gfap,127.6817895382607,247.4049949345694,871.3140568494345
Astrocyte_Metabolic_Support | Lcn2,0.5470421776984522,0.35753757192366464,0.4482198702600242
Autophagy_Proteostasis | Lamp5,133.64776717033675,151.9184200553214,111.13597588132825
Autophagy_Proteostasis | Laptm5,25.230443340829396,31.111151557872898,48.675550313080734
Glucose_Nutrient_Transport | Slco2b1,15.844188574331096,17.822093648728888,21.460992907481533
GrowthFactor_Metabolic_Signaling | Fos,5.20477271415535,22.929294776481573,22.523753228789893
GrowthFactor_Metabolic_Signaling | Igfbp5,136.62324756432795,113.1335480845857,177.95456446480844
GrowthFactor_Metabolic_Signaling | Stat3,74.03947717218307,84.43102033007678,107.1132730205669
GrowthFactor_Metabolic_Signaling | Tnf,0.1741953914867228,0.21739989470172158,0.44587070951442653
Immune_Metabolic_Crosstalk | C1qa,36.347198497038725,48.89592445637088,84.16667085756944
Immune_Metabolic_Crosstalk | C1qb,25.863586939384607,54.0863795654079,75.44188784841991
Immune_Metabolic_Crosstalk | C1qc,22.05279913773197,38.10735681269769,58.931046464061666
Immune_Metabolic_Crosstalk | C3,1.5746233663947606,1.4653179177199371,4.298964164443627
Immune_Metabolic_Crosstalk | Cd68,13.08785229499518,18.539800383938655,33.641861205554264
Immune_Metabolic_Crosstalk | Itgax,0.27080796155498926,0.35985481886331483,3.3968864381341453
Immune_Metabolic_Crosstalk | Lyz2,12.371734269752839,14.9713624964757,52.04988480805714
Immune_Metabolic_Crosstalk | Trem2,9.835923800170402,15.585719461815259,36.17895481079968
Immune_Metabolic_Crosstalk | Tyrobp,9.71149852053703,13.300541216907368,29.788297918475944
Lipid_Metabolism_Transport | Lcn2,0.5470421776984522,0.35753757192366464,0.4482198702600242
Lipid_Metabolism_Transport | Slco2b1,15.844188574331096,17.822093648728888,21.460992907481533
Redox_Lysosomal_Metabolism | Ctsh,14.864530389304218,13.202933100918841,18.244522014609284
Synaptic_Energy_Demand | Ntsr2,210.92873740331342,226.08049241801686,200.50086963675605
Synaptic_Energy_Demand | Syt2,59.12560572371389,82.57072447241306,52.33460309042357
Vascular_Nutrient_Coupling | Kdr,20.72629912265753,20.96564914894766,14.154163324374725
Vascular_Nutrient_Coupling | Pecam1,25.76461393787612,27.981950192358322,24.516781205354906
Vascular_Nutrient_Coupling | Tgfbr1,19.438232047551672,16.84027083496193,18.540516268554583
